SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_DAYS,DAILY_MEAN,NB_OF_INVOICES
0252KO,2020-01-04,2020-04-30,1252,"171,31",117,10.7008547008547,35
0252KO,2020-01-05,2020-05-31,1300,"177,67",147,8.843537414965986,35
0252KO,2020-01-06,2020-06-30,1291,"176,47",176,7.3352272727272725,35
0252KO,2020-01-07,2020-07-31,1347,"183,89",206,6.538834951456311,35
0252KO,2020-01-08,2020-08-31,1363,"186,01",236,5.77542372881356,35
0252KO,2020-01-09,2020-09-30,1288,"176,08",265,4.860377358490566,35
0252KO,2020-01-10,2020-10-31,1412,"192,50",295,4.786440677966102,35
0252KO,2020-01-11,2020-11-30,1337,"182,57",324,4.1265432098765435,35
0253BB,2018-01-01,2018-01-31,2413,"312,53",30,80.43333333333334,35
0253BB,2018-01-02,2018-02-28,2236,"290,03",57,39.228070175438596,35
0253BB,2018-01-03,2018-03-31,2407,"311,75",87,27.666666666666668,35
0253BB,2018-01-04,2018-04-30,2248,"293,11",116,19.379310344827587,35
0253BB,2018-01-05,2018-05-31,2355,"307,13",146,16.13013698630137,35
0253BB,2018-01-06,2018-06-30,2290,"299,10",175,13.085714285714285,35
0253BB,2018-01-07,2018-07-31,2385,"311,64",205,11.634146341463415,35
0253BB,2018-01-08,2018-08-31,2422,"317,10",235,10.306382978723404,35
0253BB,2018-01-09,2018-09-30,2264,"297,44",264,8.575757575757576,35
0253BB,2018-01-10,2018-10-31,2308,"302,37",294,7.850340136054422,35
0253BB,2018-01-11,2018-11-30,2268,"296,80",323,7.021671826625387,35
0253BB,2018-01-12,2018-12-31,2489,"324,01",353,7.050991501416431,35
0253BB,2019-01-01,2019-01-31,2540,"315,38",30,84.66666666666667,35
0253BB,2019-01-02,2019-02-28,2175,"271,56",57,38.1578947368421,35
0253BB,2019-01-03,2019-03-31,2323,"289,82",87,26.701149425287355,35
0253BB,2019-01-04,2019-04-30,2232,"279,66",116,19.24137931034483,35
0253BB,2019-01-05,2019-05-31,2307,"288,76",146,15.801369863013699,35
0253BB,2019-01-06,2019-06-30,2340,"294,59",175,13.371428571428572,35
0253BB,2019-01-07,2019-07-31,2372,"297,65",205,11.570731707317073,35
0253BB,2019-01-08,2019-08-31,2399,"301,35",235,10.208510638297872,35
0253BB,2019-01-09,2019-09-30,2249,"281,94",264,8.518939393939394,35
0253BB,2019-01-10,2019-10-31,2309,"288,77",294,7.85374149659864,35
0253BB,2019-01-11,2019-11-30,2225,"278,53",323,6.8885448916408665,35
0253BB,2019-01-12,2019-12-31,2428,"302,04",353,6.878186968838527,35
0253BB,2020-01-01,2020-01-31,2515,"388,37",30,83.83333333333333,35
0253BB,2020-01-02,2020-02-29,2221,"345,90",58,38.293103448275865,35
0253BB,2020-01-03,2020-03-31,2337,"364,35",88,26.556818181818183,35
0253BB,2020-01-04,2020-04-30,2237,"349,33",117,19.11965811965812,35
0253BB,2020-01-05,2020-05-31,2276,"345,27",147,15.482993197278912,35
0253BB,2020-01-06,2020-06-30,2260,"325,07",176,12.840909090909092,35
0253BB,2020-01-07,2020-07-31,2490,"357,46",206,12.087378640776699,35
0253BB,2020-01-08,2020-08-31,2516,"360,95",236,10.661016949152541,35
0253BB,2020-01-09,2020-09-30,2396,"343,81",265,9.041509433962265,35
0253BB,2020-01-10,2020-10-31,2443,"349,85",295,8.28135593220339,35
0253BB,2020-01-11,2020-11-30,2333,"323,10",324,7.200617283950617,35
0253BR,2018-01-01,2018-01-31,2985,"318,55",30,99.5,35
0253BR,2018-01-02,2018-02-28,2703,"289,33",57,47.421052631578945,35
0253BR,2018-01-03,2018-03-31,2997,"319,80",87,34.44827586206897,35
0253BR,2018-01-04,2018-04-30,2930,"312,86",116,25.25862068965517,35
0253BR,2018-01-05,2018-05-31,3052,"325,50",146,20.904109589041095,35
0253BR,2018-01-06,2018-06-30,2990,"319,07",175,17.085714285714285,35
0253BR,2018-01-07,2018-07-31,3119,"341,56",205,15.214634146341464,35
0253BR,2018-01-08,2018-08-31,3163,"345,95",235,13.459574468085107,35
0253BR,2018-01-09,2018-09-30,2971,"328,27",264,11.253787878787879,35
0253BR,2018-01-10,2018-10-31,3043,"336,12",294,10.350340136054422,35
0253BR,2018-01-11,2018-11-30,2931,"324,07",323,9.074303405572756,35
0253BR,2018-01-12,2018-12-31,3018,"333,32",353,8.549575070821529,35
0253BR,2019-01-01,2019-01-31,3000,"323,52",30,100.0,35
0253BR,2019-01-02,2019-02-28,2710,"293,13",57,47.54385964912281,35
0253BR,2019-01-03,2019-03-31,2998,"323,31",87,34.45977011494253,35
0253BR,2019-01-04,2019-04-30,2902,"313,33",116,25.017241379310345,35
0253BR,2019-01-05,2019-05-31,3012,"324,84",146,20.63013698630137,35
0253BR,2019-01-06,2019-06-30,3073,"330,63",175,17.56,35
0253BR,2019-01-07,2019-07-31,3291,"353,23",205,16.053658536585367,35
0253BR,2019-01-08,2019-08-31,3312,"355,37",235,14.093617021276597,35
0253BR,2019-01-09,2019-09-30,3132,"336,89",264,11.863636363636363,35
0253BR,2019-01-10,2019-10-31,3232,"347,43",294,10.993197278911564,35
0253BR,2019-01-11,2019-11-30,3125,"335,97",323,9.674922600619196,35
0253BR,2019-01-12,2019-12-31,3176,"341,30",353,8.997167138810198,35
0253BR,2020-01-01,2020-01-31,3225,"412,34",30,107.5,35
0253BR,2020-01-02,2020-02-29,3142,"401,87",58,54.172413793103445,35
0253BR,2020-01-03,2020-03-31,3331,"423,53",88,37.85227272727273,35
0253BR,2020-01-04,2020-04-30,3205,"408,05",117,27.39316239316239,35
0253BR,2020-01-05,2020-05-31,3313,"421,54",147,22.537414965986393,35
0253BR,2020-01-06,2020-06-30,3314,"421,33",176,18.829545454545453,35
0253BR,2020-01-07,2020-07-31,3445,"437,46",206,16.723300970873787,35
0253BR,2020-01-08,2020-08-31,3511,"445,49",236,14.877118644067796,35
0253BR,2020-01-09,2020-09-30,3331,"423,42",265,12.569811320754717,35
0253BR,2020-01-10,2020-10-31,3408,"433,34",295,11.552542372881357,35
0253BR,2020-01-11,2020-11-30,3261,"405,90",324,10.064814814814815,35
0253KO,2018-01-01,2018-01-31,1758,"219,61",30,58.6,35
0253KO,2018-01-02,2018-02-28,1609,"201,66",57,28.228070175438596,35
0253KO,2018-01-03,2018-03-31,1774,"221,54",87,20.39080459770115,35
0253KO,2018-01-04,2018-04-30,1738,"217,20",116,14.982758620689655,35
0253KO,2018-01-05,2018-05-31,1830,"228,29",146,12.534246575342467,35
0253KO,2018-01-06,2018-06-30,1783,"222,62",175,10.188571428571429,35
0253KO,2018-01-07,2018-07-31,1876,"233,96",205,9.151219512195121,35
0253KO,2018-01-08,2018-08-31,1897,"236,49",235,8.072340425531914,35
0253KO,2018-01-09,2018-09-30,1762,"221,60",264,6.674242424242424,35
0253KO,2018-01-10,2018-10-31,1783,"224,15",294,6.0646258503401365,35
0253KO,2018-01-11,2018-11-30,1712,"215,54",323,5.30030959752322,35
0253KO,2018-01-12,2018-12-31,1767,"222,21",353,5.005665722379604,35
0253KO,2019-01-01,2019-01-31,1761,"243,20",30,58.7,35
0253KO,2019-01-02,2019-02-28,1593,"220,75",57,27.94736842105263,35
0253KO,2019-01-03,2019-03-31,1766,"243,86",87,20.298850574712645,35
0253KO,2019-01-04,2019-04-30,1725,"238,39",116,14.870689655172415,35
0253KO,2019-01-05,2019-05-31,1790,"247,07",146,12.26027397260274,35
0253KO,2019-01-06,2019-06-30,1843,"254,15",175,10.531428571428572,35
0253KO,2019-01-07,2019-07-31,1857,"256,02",205,9.058536585365854,35
0253KO,2019-01-08,2019-08-31,1873,"258,16",235,7.970212765957447,35
0253KO,2019-01-09,2019-09-30,1736,"239,86",264,6.575757575757576,35
0253KO,2019-01-10,2019-10-31,2292,"314,15",294,7.795918367346939,35
0253KO,2019-01-11,2019-11-30,2333,"319,62",323,7.222910216718266,35
0253KO,2019-01-12,2019-12-31,2416,"330,71",353,6.8441926345609065,35
0253KO,2020-01-01,2020-01-31,2421,"329,57",30,80.7,35
0253KO,2020-01-02,2020-02-29,2264,"308,77",58,39.03448275862069,35
0253KO,2020-01-03,2020-03-31,2427,"330,36",88,27.579545454545453,35
0253KO,2020-01-04,2020-04-30,2452,"333,68",117,20.957264957264957,35
0253KO,2020-01-05,2020-05-31,2535,"344,67",147,17.244897959183675,35
0253KO,2020-01-06,2020-06-30,2471,"336,19",176,14.039772727272727,35
0253KO,2020-01-07,2020-07-31,2613,"355,00",206,12.684466019417476,35
0253KO,2020-01-08,2020-08-31,2666,"362,03",236,11.296610169491526,35
0253KO,2020-01-09,2020-09-30,2539,"345,20",265,9.581132075471698,35
0253KO,2020-01-10,2020-10-31,2609,"354,47",295,8.844067796610169,35
0253KO,2020-01-11,2020-11-30,2518,"333,57",324,7.771604938271605,35
0254BB,2018-01-01,2018-01-31,3575,"505,19",30,119.16666666666667,35
0254BB,2018-01-02,2018-02-28,3611,"512,41",57,63.35087719298246,35
0254BB,2018-01-03,2018-03-31,3119,"436,90",87,35.85057471264368,35
0254BB,2018-01-04,2018-04-30,1981,"270,73",116,17.07758620689655,35
0254BB,2018-01-05,2018-05-31,2672,"361,52",146,18.301369863013697,35
0254BB,2018-01-06,2018-06-30,2733,"368,51",175,15.617142857142857,35
0254BB,2018-01-07,2018-07-31,3941,"542,89",205,19.224390243902437,35
0254BB,2018-01-08,2018-08-31,4500,"619,49",235,19.148936170212767,35
0254BB,2018-01-09,2018-09-30,2287,"308,31",264,8.662878787878787,35
0254BB,2018-01-10,2018-10-31,2047,"276,10",294,6.962585034013605,35
0254BB,2018-01-11,2018-11-30,1743,"236,84",323,5.396284829721362,35
0254BB,2018-01-12,2018-12-31,2247,"308,77",353,6.36543909348442,35
0254BB,2019-01-01,2019-01-31,4275,"569,76",30,142.5,35
0254BB,2019-01-02,2019-02-28,3640,"488,15",57,63.85964912280702,35
0254BB,2019-01-03,2019-03-31,2875,"384,14",87,33.04597701149425,35
0254BB,2019-01-04,2019-04-30,1854,"245,74",116,15.982758620689655,35
0254BB,2019-01-05,2019-05-31,1967,"252,57",146,13.472602739726028,35
0254BB,2019-01-06,2019-06-30,2836,"367,09",175,16.205714285714286,35
0254BB,2019-01-07,2019-07-31,3966,"526,48",205,19.346341463414635,35
0254BB,2019-01-08,2019-08-31,4455,"584,28",235,18.95744680851064,35
0254BB,2019-01-09,2019-09-30,2643,"334,09",264,10.011363636363637,35
0254BB,2019-01-10,2019-10-31,2010,"256,85",294,6.836734693877551,35
0254BB,2019-01-11,2019-11-30,1827,"247,79",323,5.656346749226006,35
0254BB,2019-01-12,2019-12-31,1610,"207,73",353,4.5609065155807365,35
0254BB,2020-01-01,2020-01-31,1467,"231,67",30,48.9,35
0254BB,2020-01-02,2020-02-29,1392,"220,57",58,24.0,35
0254BB,2020-01-03,2020-03-31,1464,"231,32",88,16.636363636363637,35
0254BB,2020-01-04,2020-04-30,1426,"224,87",117,12.188034188034187,35
0254BB,2020-01-05,2020-05-31,1481,"232,72",147,10.07482993197279,35
0254BB,2020-01-06,2020-06-30,1461,"229,42",176,8.301136363636363,35
0254BB,2020-01-07,2020-07-31,1525,"238,51",206,7.402912621359223,35
0254BB,2020-01-08,2020-08-31,1504,"235,60",236,6.372881355932203,35
0254BB,2020-01-09,2020-09-30,1423,"223,76",265,5.369811320754717,35
0254BB,2020-01-10,2020-10-31,1458,"229,10",295,4.942372881355932,35
0254BB,2020-01-11,2020-11-30,1391,"191,90",324,4.29320987654321,35
0254BR,2018-01-01,2018-01-31,2085,"316,50",30,69.5,34
0254BR,2018-01-02,2018-02-28,2386,"362,67",57,41.85964912280702,34
0254BR,2018-01-03,2018-03-31,2980,"452,66",87,34.252873563218394,34
0254BR,2018-01-04,2018-04-30,2651,"413,56",116,22.853448275862068,34
0254BR,2018-01-05,2018-05-31,2888,"452,26",146,19.78082191780822,34
0254BR,2018-01-06,2018-06-30,3039,"472,87",175,17.365714285714287,34
0254BR,2018-01-07,2018-07-31,3160,"491,70",205,15.414634146341463,34
0254BR,2018-01-08,2018-08-31,3428,"528,60",235,14.587234042553192,34
0254BR,2018-01-09,2018-09-30,2670,"419,19",264,10.113636363636363,34
0254BR,2018-01-10,2018-10-31,3337,"515,57",294,11.350340136054422,34
0254BR,2018-01-11,2018-11-30,2571,"393,36",323,7.959752321981425,34
0254BR,2018-01-12,2018-12-31,3261,"500,24",353,9.237960339943342,34
0254BR,2019-01-01,2019-01-31,3389,"568,67",30,112.96666666666667,34
0254BR,2019-01-02,2019-02-28,2969,"501,46",57,52.08771929824562,34
0254BR,2019-01-03,2019-03-31,3309,"560,21",87,38.03448275862069,34
0254BR,2019-01-04,2019-04-30,3288,"562,58",116,28.344827586206897,34
0254BR,2019-01-05,2019-05-31,3429,"584,30",146,23.486301369863014,34
0254BR,2019-01-06,2019-06-30,3473,"598,05",175,19.845714285714287,34
0254BR,2019-01-07,2019-07-31,3531,"603,80",205,17.224390243902437,34
0254BR,2019-01-08,2019-08-31,3738,"637,70",235,15.906382978723403,34
0254BR,2019-01-09,2019-09-30,2950,"501,80",264,11.174242424242424,34
0254BR,2019-01-10,2019-10-31,3417,"570,64",294,11.622448979591837,34
0254BR,2019-01-11,2019-11-30,2422,"403,75",323,7.498452012383901,34
0254BR,2019-01-12,2019-12-31,2607,"432,76",353,7.385269121813031,34
0254BR,2020-01-01,2020-01-31,2807,"460,35",30,93.56666666666666,34
0254BR,2020-01-02,2020-02-29,2336,"385,91",58,40.275862068965516,34
0254BR,2020-01-03,2020-03-31,2594,"430,09",88,29.477272727272727,34
0254BR,2020-01-04,2020-04-30,2960,"493,94",117,25.299145299145298,34
0254BR,2020-01-05,2020-05-31,2884,"486,24",147,19.61904761904762,34
0254BR,2020-01-06,2020-06-30,3186,"537,48",176,18.102272727272727,34
0254BR,2020-01-07,2020-07-31,3423,"575,41",206,16.616504854368934,34
0254BR,2020-01-08,2020-08-31,3814,"639,61",236,16.161016949152543,34
0254BR,2020-01-09,2020-09-30,3168,"531,91",265,11.954716981132075,34
0254BR,2020-01-10,2020-10-31,3475,"575,46",295,11.779661016949152,34
0254KO,2018-01-01,2018-12-31,29080,"3 800,56",364,79.89010989010988,24
0254KO,2019-01-01,2019-01-31,2881,"409,72",30,96.03333333333333,24
0254KO,2019-01-02,2019-02-28,2350,"338,31",57,41.228070175438596,24
0254KO,2019-01-03,2019-03-31,2441,"334,05",87,28.057471264367816,24
0254KO,2019-01-04,2019-04-30,2330,"319,22",116,20.086206896551722,24
0254KO,2019-01-05,2019-05-31,2424,"331,78",146,16.602739726027398,24
0254KO,2019-01-06,2019-06-30,2503,"342,34",175,14.302857142857142,24
0254KO,2019-01-07,2019-07-31,2552,"348,89",205,12.448780487804878,24
0254KO,2019-01-08,2019-08-31,2512,"343,54",235,10.689361702127659,24
0254KO,2019-01-09,2019-09-30,2439,"333,79",264,9.238636363636363,24
0254KO,2019-01-10,2019-10-31,2655,"362,65",294,9.03061224489796,24
0254KO,2019-01-11,2019-11-30,2626,"358,77",323,8.130030959752322,24
0254KO,2019-01-12,2019-12-31,2675,"365,32",353,7.577903682719547,24
0254KO,2020-01-01,2020-01-31,2684,"364,41",30,89.46666666666667,24
0254KO,2020-01-02,2020-02-29,2683,"364,28",58,46.258620689655174,24
0254KO,2020-01-03,2020-03-31,2801,"379,91",88,31.829545454545453,24
0254KO,2020-01-04,2020-04-30,2684,"364,41",117,22.94017094017094,24
0254KO,2020-01-05,2020-05-31,2772,"376,07",147,18.857142857142858,24
0254KO,2020-01-06,2020-06-30,2716,"368,65",176,15.431818181818182,24
0254KO,2020-01-07,2020-07-31,2853,"386,80",206,13.849514563106796,24
0254KO,2020-01-08,2020-08-31,2887,"391,30",236,12.233050847457626,24
0254KO,2020-01-09,2020-09-30,2761,"374,61",265,10.418867924528302,24
0254KO,2020-01-10,2020-10-31,2843,"385,47",295,9.63728813559322,24
0254KO,2020-01-11,2020-11-30,2722,"369,44",324,8.401234567901234,24
0255BB,2018-01-01,2018-01-31,679,"95,28",30,22.633333333333333,35
0255BB,2018-01-02,2018-02-28,690,"96,49",57,12.105263157894736,35
0255BB,2018-01-03,2018-03-31,704,"96,86",87,8.091954022988507,35
0255BB,2018-01-04,2018-04-30,623,"87,62",116,5.370689655172414,35
0255BB,2018-01-05,2018-05-31,647,"90,62",146,4.431506849315069,35
0255BB,2018-01-06,2018-06-30,630,"88,59",175,3.6,35
0255BB,2018-01-07,2018-07-31,654,"91,71",205,3.1902439024390246,35
0255BB,2018-01-08,2018-08-31,661,"92,69",235,2.8127659574468087,35
0255BB,2018-01-09,2018-09-30,625,"88,38",264,2.367424242424242,35
0255BB,2018-01-10,2018-10-31,633,"89,36",294,2.1530612244897958,35
0255BB,2018-01-11,2018-11-30,645,"90,65",323,1.9969040247678018,35
0255BB,2018-01-12,2018-12-31,690,"96,17",353,1.954674220963173,35
0255BB,2019-01-01,2019-01-31,748,"99,73",30,24.933333333333334,35
0255BB,2019-01-02,2019-02-28,613,"83,65",57,10.75438596491228,35
0255BB,2019-01-03,2019-03-31,647,"88,01",87,7.436781609195402,35
0255BB,2019-01-04,2019-04-30,623,"85,27",116,5.370689655172414,35
0255BB,2019-01-05,2019-05-31,643,"87,64",146,4.404109589041096,35
0255BB,2019-01-06,2019-06-30,658,"89,91",175,3.76,35
0255BB,2019-01-07,2019-07-31,657,"89,56",205,3.204878048780488,35
0255BB,2019-01-08,2019-08-31,658,"89,71",235,2.8,35
0255BB,2019-01-09,2019-09-30,626,"85,70",264,2.371212121212121,35
0255BB,2019-01-10,2019-10-31,647,"88,08",294,2.2006802721088436,35
0255BB,2019-01-11,2019-11-30,625,"85,49",323,1.934984520123839,35
0255BB,2019-01-12,2019-12-31,675,"91,24",353,1.9121813031161472,35
0255BB,2020-01-01,2020-01-31,685,"121,37",30,22.833333333333332,35
0255BB,2020-01-02,2020-02-29,622,"112,12",58,10.724137931034482,35
0255BB,2020-01-03,2020-03-31,665,"118,91",88,7.556818181818182,35
0255BB,2020-01-04,2020-04-30,629,"113,43",117,5.3760683760683765,35
0255BB,2020-01-05,2020-05-31,644,"116,15",147,4.380952380952381,35
0255BB,2020-01-06,2020-06-30,631,"113,80",176,3.585227272727273,35
0255BB,2020-01-07,2020-07-31,657,"117,94",206,3.1893203883495147,35
0255BB,2020-01-08,2020-08-31,662,"118,43",236,2.805084745762712,35
0255BB,2020-01-09,2020-09-30,821,"137,26",265,3.09811320754717,35
0255BB,2020-01-10,2020-10-31,927,"151,01",295,3.142372881355932,35
0255BB,2020-01-11,2020-11-30,949,"130,33",324,2.9290123456790123,35
0255BR,2018-01-01,2018-06-05,7615,"904,66",155,49.12903225806452,3
0255BR,2018-07-05,2018-12-31,15044,"1 781,52",179,84.04469273743017,3
0255BR,2019-01-01,2019-12-31,22408,"2 613,18",364,61.56043956043956,3
0255KO,2017-12-30,2018-01-02,2042,"232,01",3,680.6666666666666,35
0255KO,2018-01-02,2018-02-28,1753,"212,46",57,30.75438596491228,35
0255KO,2018-01-03,2018-03-29,1850,"215,34",85,21.764705882352942,35
0255KO,2018-03-30,2018-04-30,2039,"269,35",31,65.7741935483871,35
0255KO,2018-01-05,2018-05-30,2002,"287,49",145,13.806896551724138,35
0255KO,2018-05-31,2018-02-07,2115,"307,52",-113,-18.716814159292035,35
0255KO,2018-03-07,2018-01-08,2059,"299,79",-58,-35.5,35
0255KO,2018-02-08,2018-08-31,2047,"300,29",204,10.034313725490197,35
0255KO,2018-01-09,2018-09-30,2046,"270,89",264,7.75,35
0255KO,2018-01-10,2018-10-31,1898,"237,25",294,6.45578231292517,35
0255KO,2018-01-11,2018-11-30,1849,"228,17",323,5.724458204334366,35
0255KO,2018-01-12,2018-12-31,1933,"259,80",353,5.475920679886686,35
0255KO,2019-01-01,2019-01-31,2144,"334,89",30,71.46666666666667,35
0255KO,2019-01-02,2019-02-28,1579,"220,02",57,27.70175438596491,35
0255KO,2019-01-03,2019-03-31,1981,"313,39",87,22.770114942528735,35
0255KO,2019-01-04,2019-04-30,1805,"276,35",116,15.560344827586206,35
0255KO,2019-01-05,2019-05-31,1933,"287,44",146,13.23972602739726,35
0255KO,2019-01-06,2019-06-30,2053,"319,65",175,11.731428571428571,35
0255KO,2019-01-07,2019-07-31,2022,"296,02",205,9.863414634146341,35
0255KO,2019-01-08,2019-08-31,2222,"333,97",235,9.45531914893617,35
0255KO,2019-01-09,2019-09-30,2262,"324,82",264,8.568181818181818,35
0255KO,2019-01-10,2019-10-31,2122,"292,62",294,7.217687074829932,35
0255KO,2019-01-11,2019-11-30,2380,"320,59",323,7.368421052631579,35
0255KO,2019-01-12,2019-12-31,2118,"294,83",353,6.0,35
0255KO,2020-01-01,2020-01-31,2549,"327,80",30,84.96666666666667,35
0255KO,2020-01-02,2020-02-29,2242,"281,98",58,38.6551724137931,35
0255KO,2020-01-03,2020-03-31,2257,"437,18",88,25.647727272727273,35
0255KO,2020-01-04,2020-04-30,2306,"526,23",117,19.70940170940171,35
0255KO,2020-01-05,2020-05-31,2452,"488,68",147,16.68027210884354,35
0255KO,2020-01-06,2020-06-30,2326,"450,31",176,13.215909090909092,35
0255KO,2020-01-07,2020-07-31,2322,"558,07",206,11.271844660194175,35
0255KO,2020-01-08,2020-08-31,2447,"483,04",236,10.36864406779661,35
0255KO,2020-01-09,2020-09-30,2380,"453,63",265,8.981132075471699,35
0255KO,2020-01-10,2020-10-31,2442,"442,25",295,8.277966101694915,35
0255KO,2020-01-11,2020-11-30,2298,"428,81",324,7.092592592592593,35
0256BB,2018-01-01,2018-12-31,26406,"3 767,91",364,72.54395604395604,2
0256BB,2019-01-01,2019-12-31,27973,"3 867,23",364,76.8489010989011,2
0256BR,2018-01-01,2018-10-16,16171,"1 939,44",288,56.14930555555556,4
0256BR,2018-10-17,2018-12-11,1632,"194,88",55,29.672727272727272,4
0256BR,2018-11-13,2018-12-31,2825,"339,18",48,58.854166666666664,4
0256BR,2019-01-01,2019-12-31,21100,"2 479,16",364,57.967032967032964,4
0256KO,2018-01-01,2018-01-31,2414,"298,65",30,80.46666666666667,35
0256KO,2018-01-02,2018-02-28,2428,"300,34",57,42.59649122807018,35
0256KO,2018-01-03,2018-03-31,2462,"304,43",87,28.298850574712645,35
0256KO,2018-01-04,2018-04-30,2123,"263,59",116,18.301724137931036,35
0256KO,2018-01-05,2018-05-31,2201,"272,99",146,15.075342465753424,35
0256KO,2018-01-06,2018-06-30,2147,"266,48",175,12.268571428571429,35
0256KO,2018-01-07,2018-07-31,2242,"278,08",205,10.93658536585366,35
0256KO,2018-01-08,2018-08-31,2205,"273,62",235,9.382978723404255,35
0256KO,2018-01-09,2018-09-30,2044,"255,82",264,7.742424242424242,35
0256KO,2018-01-10,2018-10-31,2092,"261,65",294,7.115646258503402,35
0256KO,2018-01-11,2018-11-30,2103,"262,98",323,6.510835913312693,35
0256KO,2018-01-12,2018-12-31,2316,"288,83",353,6.5609065155807365,35
0256KO,2019-01-01,2019-01-31,2446,"334,72",30,81.53333333333333,35
0256KO,2019-01-02,2019-02-28,2014,"277,00",57,35.333333333333336,35
0256KO,2019-01-03,2019-03-31,2106,"289,29",87,24.20689655172414,35
0256KO,2019-01-04,2019-04-30,2020,"277,80",116,17.413793103448278,35
0256KO,2019-01-05,2019-05-31,2082,"286,09",146,14.26027397260274,35
0256KO,2019-01-06,2019-06-30,2139,"293,70",175,12.222857142857142,35
0256KO,2019-01-07,2019-07-31,2210,"303,19",205,10.78048780487805,35
0256KO,2019-01-08,2019-08-31,2218,"304,26",235,9.438297872340426,35
0256KO,2019-01-09,2019-09-30,2092,"287,42",264,7.924242424242424,35
0256KO,2019-01-10,2019-10-31,2162,"296,78",294,7.35374149659864,35
0256KO,2019-01-11,2019-11-30,2076,"285,28",323,6.427244582043343,35
0256KO,2019-01-12,2019-12-31,2249,"308,40",353,6.371104815864022,35
0256KO,2020-01-01,2020-01-31,2293,"312,61",30,76.43333333333334,35
0256KO,2020-01-02,2020-02-29,2007,"274,73",58,34.60344827586207,35
0256KO,2020-01-03,2020-03-31,2159,"294,86",88,24.53409090909091,35
0256KO,2020-01-04,2020-04-30,2067,"282,67",117,17.666666666666668,35
0256KO,2020-01-05,2020-05-31,2073,"283,47",147,14.10204081632653,35
0256KO,2020-01-06,2020-06-30,2199,"300,16",176,12.494318181818182,35
0256KO,2020-01-07,2020-07-31,2438,"331,82",206,11.83495145631068,35
0256KO,2020-01-08,2020-08-31,2486,"338,18",236,10.533898305084746,35
0256KO,2020-01-09,2020-09-30,2395,"326,13",265,9.037735849056604,35
0256KO,2020-01-10,2020-10-31,2464,"335,27",295,8.352542372881356,35
0256KO,2020-01-11,2020-11-30,2347,"319,77",324,7.243827160493828,35
0257BB,2018-01-01,2018-12-31,34975,"4 680,13",364,96.08516483516483,2
0257BB,2019-01-01,2019-12-31,39129,"4 994,64",364,107.49725274725274,2
0257KO,2018-01-01,2018-03-31,6032,"790,19",89,67.7752808988764,11
0257KO,2018-01-04,2018-06-30,5702,"742,40",177,32.21468926553672,11
0257KO,2018-01-07,2018-09-30,5485,"725,12",266,20.6203007518797,11
0257KO,2018-01-10,2018-12-31,9759,"1 337,86",355,27.49014084507042,11
0257KO,2019-01-01,2019-03-31,8019,"1 202,85",89,90.10112359550561,11
0257KO,2019-01-04,2019-06-30,6767,"915,58",177,38.23163841807909,11
0257KO,2019-01-07,2019-09-30,6565,"888,51",266,24.68045112781955,11
0257KO,2019-01-10,2019-12-31,7214,"975,26",355,20.32112676056338,11
0257KO,2020-01-01,2020-03-31,6824,"922,81",90,75.82222222222222,11
0257KO,2020-01-04,2020-06-30,7746,"1 049,12",178,43.51685393258427,11
0257KO,2020-01-07,2020-09-30,8345,"1 124,07",267,31.254681647940075,11
0258BB,2018-01-01,2018-01-31,2408,"312,67",30,80.26666666666667,35
0258BB,2018-01-02,2018-02-28,2171,"282,88",57,38.08771929824562,35
0258BB,2018-01-03,2018-03-31,2408,"312,78",87,27.67816091954023,35
0258BB,2018-01-04,2018-04-30,2358,"306,40",116,20.32758620689655,35
0258BB,2018-01-05,2018-05-31,2439,"316,61",146,16.705479452054796,35
0258BB,2018-01-06,2018-06-30,2330,"302,88",175,13.314285714285715,35
0258BB,2018-01-07,2018-07-31,2858,"369,63",205,13.941463414634146,35
0258BB,2018-01-08,2018-08-31,2923,"378,18",235,12.438297872340426,35
0258BB,2018-01-09,2018-09-30,2793,"363,28",264,10.579545454545455,35
0258BB,2018-01-10,2018-10-31,2873,"373,26",294,9.772108843537415,35
0258BB,2018-01-11,2018-11-30,2773,"360,56",323,8.58513931888545,35
0258BB,2018-01-12,2018-12-31,3042,"394,34",353,8.61756373937677,35
0258BB,2019-01-01,2019-01-31,3057,"377,89",30,101.9,35
0258BB,2019-01-02,2019-02-28,2592,"322,03",57,45.473684210526315,35
0258BB,2019-01-03,2019-03-31,2894,"358,79",87,33.264367816091955,35
0258BB,2019-01-04,2019-04-30,2547,"316,85",116,21.95689655172414,35
0258BB,2019-01-05,2019-05-31,2590,"322,08",146,17.73972602739726,35
0258BB,2019-01-06,2019-06-30,2727,"339,31",175,15.582857142857144,35
0258BB,2019-01-07,2019-07-31,2817,"349,54",205,13.741463414634147,35
0258BB,2019-01-08,2019-08-31,2834,"351,88",235,12.059574468085106,35
0258BB,2019-01-09,2019-09-30,2727,"338,77",264,10.329545454545455,35
0258BB,2019-01-10,2019-10-31,2812,"348,62",294,9.564625850340136,35
0258BB,2019-01-11,2019-11-30,2678,"332,56",323,8.291021671826625,35
0258BB,2019-01-12,2019-12-31,2782,"344,77",353,7.881019830028329,35
0258BB,2020-01-01,2020-01-31,2806,"411,89",30,93.53333333333333,35
